Gaspar_code	FB_Spec_Code	Class	Order	Family	Bellwood_Floeter	Genus	Species	Genus_and_species	Size	Size_type	Depth_min	Depth_max	Size_class	Diet_2012	Home_range	Activity	Schooling	Level
10293	10293	Actinopterygii_(ray-finned_fishes)	Perciformes	Chaetodontidae	1	Amphichaetodon	melbae	Amphichaetodon_melbae	11	SL	10	13	3	IM	S	D	S	B
10294	10294	Actinopterygii_(ray-finned_fishes)	Perciformes	Apogonidae	1	Apogon	apogonides	Apogon_apogonides	10	TL	3	60	2	IM	S	N	F	L
10297	10297	Actinopterygii_(ray-finned_fishes)	Perciformes	Pinguipedidae	1	Parapercis	somaliensis	Parapercis_somaliensis	15	TL	50	72	3	IM	M	D	S	B
10305	10305	Actinopterygii_(ray-finned_fishes)	Tetraodontiformes	Diodontidae	1	Cyclichthys	spilostylus	Cyclichthys_spilostylus	34	TL	3	90	4	IM	M	B	S	B
10316	10316	Actinopterygii_(ray-finned_fishes)	Scorpaeniformes	Synanceiidae	1	Minous	pictus	Minous_pictus	11	TL	0	56	3	FC	S	N	S	B
10330	10330	Actinopterygii_(ray-finned_fishes)	Lophiiformes	Antennariidae	1	Lophiocharon	trisignatus	Lophiocharon_trisignatus	14.7	SL	26	52	3	FC	S	N	S	B
10331	10331	Actinopterygii_(ray-finned_fishes)	Lophiiformes	Ogcocephalidae	1	Halieutaea	stellata	Halieutaea_stellata	30	TL	50	400	4	FC	M	NA	S	B
10332	10332	Actinopterygii_(ray-finned_fishes)	Lophiiformes	Ogcocephalidae	1	Halieutaea	indica	Halieutaea_indica	15	TL	0	100	3	FC	M	NA	S	B
10342	10342	Actinopterygii_(ray-finned_fishes)	Perciformes	Apogonidae	1	Apogon	ceramensis	Apogon_ceramensis	10	TL	0	NA	2	PK	S	N	L	L
10343	10343	Actinopterygii_(ray-finned_fishes)	Perciformes	Apogonidae	1	Apogon	septemstriatus	Apogon_septemstriatus	5.3	SL	18	52	2	PK	S	N	NA	L
10350	10350	Actinopterygii_(ray-finned_fishes)	Perciformes	Pempheridae	1	Pempheris	vanicolensis	Pempheris_vanicolensis	20	TL	0	NA	4	PK	S	N	M	L
